# Synthetic hourly load for a small utility, one non-leap year, MW.
# Generated by make_profiles.py with seed 20260815. Not measured data.
# Shape: summer peaking seasonal factor, double humped diurnal curve,
# weekend reduction, 3 percent Gaussian noise.
hour,load_mw
0,59.6579
1,60.2511
2,59.6138
3,59.7143
4,60.9498
5,60.7243
6,65.2604
7,65.2136
8,73.7504
9,76.6956
10,76.2840
11,73.8444
12,70.6135
13,70.8109
14,71.5499
15,77.9087
16,87.4056
17,92.6332
18,97.3274
19,94.1235
20,88.9333
21,88.8473
22,75.9479
23,67.2947
24,58.2043
25,58.4906
26,59.8815
27,62.3599
28,63.7366
29,64.5511
30,70.7983
31,71.4203
32,73.2712
33,74.0052
34,75.5074
35,72.2262
36,73.5516
37,70.8057
38,71.5556
39,74.5800
40,90.3026
41,95.8675
42,90.9463
43,93.1232
44,91.2811
45,84.6028
46,77.6790
47,74.6111
48,57.6506
49,60.9067
50,58.9159
51,60.5266
52,59.3223
53,61.3710
54,65.8631
55,65.8355
56,71.8782
57,75.2429
58,75.5046
59,72.3472
60,69.1514
61,69.9674
62,76.3975
63,73.4529
64,82.4607
65,89.7063
66,91.7445
67,94.7984
68,87.2480
69,82.2586
70,78.5307
71,70.4461
72,59.6783
73,58.2583
74,60.8868
75,57.0399
76,59.3820
77,64.8548
78,66.8100
79,68.9699
80,73.4487
81,73.6529
82,69.1712
83,69.1638
84,67.9106
85,71.7413
86,74.5572
87,80.4897
88,87.1010
89,89.3522
90,93.3660
91,94.7126
92,91.0613
93,89.2140
94,81.3757
95,72.0584
96,58.8670
97,57.8631
98,62.1968
99,60.5577
100,63.0286
101,61.6939
102,67.1930
103,71.7973
104,72.9157
105,72.9568
106,72.3808
107,72.7658
108,72.8839
109,70.4785
110,71.6473
111,80.1514
112,81.6942
113,91.1811
114,94.1431
115,95.6126
116,88.3214
117,88.2507
118,77.0577
119,70.2507
120,55.5311
121,53.2344
122,54.2839
123,54.8125
124,52.3894
125,53.5378
126,59.4500
127,64.1869
128,65.7093
129,71.0720
130,67.7959
131,64.4192
132,61.7693
133,65.4397
134,65.5592
135,71.2303
136,77.4996
137,88.6690
138,81.5640
139,88.9602
140,82.8910
141,76.6157
142,68.7741
143,61.6542
144,53.5249
145,55.1350
146,54.6779
147,54.6664
148,56.3887
149,55.7484
150,59.8766
151,61.8752
152,65.6036
153,65.5551
154,69.4805
155,66.7575
156,62.2086
157,63.2300
158,65.9373
159,70.3327
160,74.2034
161,80.2433
162,84.3913
163,85.5615
164,83.1300
165,74.1379
166,70.1500
167,64.6514
168,58.7201
169,59.4126
170,60.6365
171,59.3650
172,62.7452
173,64.8078
174,67.6723
175,67.6581
176,72.7709
177,72.0979
178,73.1458
179,73.7911
180,68.9365
181,69.8207
182,75.2646
183,77.5320
184,87.8040
185,95.9708
186,92.6505
187,94.3019
188,89.8239
189,79.4334
190,78.5092
191,66.0608
192,58.0852
193,57.8957
194,60.0556
195,59.9861
196,63.6188
197,62.7508
198,64.6789
199,67.1617
200,69.7418
201,70.4651
202,74.2924
203,73.4346
204,68.1881
205,68.5465
206,76.1324
207,76.4369
208,80.3684
209,90.5696
210,98.1216
211,96.0354
212,91.2477
213,83.5809
214,74.4975
215,72.4331
216,60.9168
217,61.6500
218,58.8921
219,59.9725
220,59.3382
221,62.6748
222,68.1726
223,66.2381
224,74.0483
225,72.8004
226,74.8353
227,70.9185
228,73.7866
229,72.5765
230,70.9717
231,74.3988
232,84.6045
233,83.9069
234,91.9039
235,92.2799
236,91.8535
237,87.8747
238,76.6012
239,69.8046
240,54.6187
241,59.0488
242,58.5520
243,59.8598
244,61.9921
245,64.1592
246,64.8392
247,70.7684
248,74.5916
249,73.9891
250,75.8785
251,68.5408
252,67.3124
253,72.5361
254,76.3941
255,74.5795
256,83.5382
257,91.8767
258,95.1277
259,96.8518
260,89.4813
261,82.6702
262,75.4376
263,70.3918
264,57.4917
265,60.1067
266,60.2583
267,61.2396
268,60.9158
269,61.7097
270,66.4695
271,68.5369
272,71.1541
273,75.1010
274,74.2451
275,70.5844
276,69.9929
277,68.4039
278,73.6856
279,73.4562
280,82.1681
281,90.9815
282,93.1599
283,94.7745
284,88.3303
285,88.6985
286,78.3604
287,70.2917
288,54.1626
289,52.7166
290,52.0980
291,53.2976
292,55.0557
293,54.9664
294,56.0343
295,64.6194
296,63.4846
297,67.9897
298,67.5002
299,61.6295
300,62.5876
301,61.3489
302,65.4150
303,73.1884
304,76.5049
305,81.7278
306,88.3519
307,82.8959
308,79.5481
309,77.2833
310,67.9044
311,63.0917
312,52.8152
313,53.0190
314,51.5767
315,51.9598
316,54.6555
317,56.7734
318,58.4846
319,61.8203
320,64.4618
321,63.8948
322,63.9109
323,64.2417
324,59.9381
325,60.7120
326,65.3091
327,69.6149
328,79.1786
329,86.0586
330,86.6677
331,86.0832
332,79.7012
333,73.3884
334,69.7651
335,64.6531
336,59.6193
337,60.4343
338,60.7936
339,58.4272
340,59.1673
341,64.3860
342,63.9066
343,69.7073
344,71.7669
345,74.9888
346,71.9601
347,75.1169
348,71.1088
349,73.3377
350,74.9044
351,78.4601
352,83.6005
353,92.1625
354,93.4434
355,95.8777
356,87.9372
357,84.4327
358,74.6120
359,71.2324
360,59.8771
361,58.2978
362,56.5281
363,60.1677
364,54.5767
365,62.1633
366,64.3560
367,71.0417
368,75.4273
369,73.2375
370,70.3201
371,74.6057
372,71.3028
373,72.2720
374,68.5802
375,77.0615
376,91.4943
377,90.8405
378,92.6803
379,94.5124
380,90.2464
381,82.7368
382,72.9665
383,63.9184
384,58.7746
385,57.2723
386,59.5676
387,57.5623
388,59.3319
389,63.8849
390,66.8307
391,71.7891
392,72.8066
393,77.5225
394,73.2926
395,70.2235
396,70.0743
397,62.6210
398,71.4143
399,80.9199
400,87.7498
401,92.5113
402,93.3596
403,94.5428
404,89.9236
405,82.9504
406,77.0732
407,70.0959
408,58.0604
409,60.1005
410,56.6156
411,60.3443
412,63.8975
413,62.1565
414,67.9576
415,68.7924
416,70.4108
417,79.2078
418,72.7207
419,68.8022
420,72.0950
421,68.4070
422,71.7837
423,84.1524
424,81.6321
425,84.8313
426,93.4885
