# Synthetic hourly PV capacity factor, one year, dimensionless 0 to 1.
# Generated by make_profiles.py with seed 20260815. Not measured data.
# Shape: clear sky solar elevation for latitude 40 N with autocorrelated
# daily cloud attenuation and hourly flicker.
hour,cf
0,0.0000
1,0.0000
2,0.0000
3,0.0000
4,0.0000
5,0.0000
6,0.0000
7,0.0069
8,0.1030
9,0.1894
10,0.2616
11,0.2784
12,0.2619
13,0.2295
14,0.1937
15,0.1030
16,0.0074
17,0.0000
18,0.0000
19,0.0000
20,0.0000
21,0.0000
22,0.0000
23,0.0000
24,0.0000
25,0.0000
26,0.0000
27,0.0000
28,0.0000
29,0.0000
30,0.0000
31,0.0084
32,0.1060
33,0.1990
34,0.2705
35,0.3078
36,0.2750
37,0.2705
38,0.2005
39,0.1063
40,0.0084
41,0.0000
42,0.0000
43,0.0000
44,0.0000
45,0.0000
46,0.0000
47,0.0000
48,0.0000
49,0.0000
50,0.0000
51,0.0000
52,0.0000
53,0.0000
54,0.0000
55,0.0099
56,0.1153
57,0.1931
58,0.2831
59,0.3309
60,0.3125
61,0.3003
62,0.1698
63,0.1191
64,0.0092
65,0.0000
66,0.0000
67,0.0000
68,0.0000
69,0.0000
70,0.0000
71,0.0000
72,0.0000
73,0.0000
74,0.0000
75,0.0000
76,0.0000
77,0.0000
78,0.0000
79,0.0085
80,0.0969
81,0.1806
82,0.2296
83,0.2628
84,0.2665
85,0.2386
86,0.1806
87,0.0801
88,0.0085
89,0.0000
90,0.0000
91,0.0000
92,0.0000
93,0.0000
94,0.0000
95,0.0000
96,0.0000
97,0.0000
98,0.0000
99,0.0000
100,0.0000
101,0.0000
102,0.0000
103,0.0084
104,0.1003
105,0.1928
106,0.2345
107,0.2842
108,0.2948
109,0.2594
110,0.1928
111,0.1038
112,0.0074
113,0.0000
114,0.0000
115,0.0000
116,0.0000
117,0.0000
118,0.0000
119,0.0000
120,0.0000
121,0.0000
122,0.0000
123,0.0000
124,0.0000
125,0.0000
126,0.0000
127,0.0115
128,0.1189
129,0.2233
130,0.2720
131,0.3463
132,0.3677
133,0.3199
134,0.2389
135,0.1300
136,0.0125
137,0.0000
138,0.0000
139,0.0000
140,0.0000
141,0.0000
142,0.0000
143,0.0000
144,0.0000
145,0.0000
146,0.0000
147,0.0000
148,0.0000
149,0.0000
150,0.0000
151,0.0121
152,0.1170
153,0.2158
154,0.2898
155,0.3291
156,0.3074
157,0.2874
158,0.2057
159,0.1170
160,0.0121
161,0.0000
162,0.0000
163,0.0000
164,0.0000
165,0.0000
166,0.0000
167,0.0000
168,0.0000
169,0.0000
170,0.0000
171,0.0000
172,0.0000
173,0.0000
174,0.0000
175,0.0140
176,0.1258
177,0.2361
178,0.3166
179,0.3594
180,0.3594
181,0.2949
182,0.1896
183,0.1192
184,0.0140
185,0.0000
186,0.0000
187,0.0000
188,0.0000
189,0.0000
190,0.0000
191,0.0000
192,0.0000
193,0.0000
194,0.0000
195,0.0000
196,0.0000
197,0.0000
198,0.0000
199,0.0115
200,0.1002
201,0.1834
202,0.2457
203,0.2635
204,0.2430
205,0.2426
206,0.1834
207,0.1002
208,0.0115
209,0.0000
210,0.0000
211,0.0000
212,0.0000
213,0.0000
214,0.0000
215,0.0000
216,0.0000
217,0.0000
218,0.0000
219,0.0000
220,0.0000
221,0.0000
222,0.0000
223,0.0138
224,0.1136
225,0.2052
226,0.2414
227,0.3142
228,0.2732
229,0.2770
230,0.2071
231,0.1104
232,0.0138
233,0.0000
234,0.0000
235,0.0000
236,0.0000
237,0.0000
238,0.0000
239,0.0000
240,0.0000
241,0.0000
242,0.0000
243,0.0000
244,0.0000
245,0.0000
246,0.0000
247,0.0147
248,0.1152
249,0.1966
250,0.2714
251,0.3168
252,0.2915
253,0.2754
254,0.2092
255,0.1052
256,0.0140
257,0.0000
258,0.0000
259,0.0000
260,0.0000
261,0.0000
262,0.0000
263,0.0000
264,0.0000
265,0.0000
266,0.0000
267,0.0000
268,0.0000
269,0.0000
270,0.0000
271,0.0168
272,0.1396
273,0.2253
274,0.3367
275,0.3815
276,0.3815
277,0.3098
278,0.2525
279,0.1186
280,0.0188
281,0.0000
282,0.0000
283,0.0000
284,0.0000
285,0.0000
286,0.0000
287,0.0000
288,0.0000
289,0.0000
290,0.0000
291,0.0000
292,0.0000
293,0.0000
294,0.0000
295,0.0165
296,0.1318
297,0.2374
298,0.2874
299,0.3580
300,0.3580
301,0.2849
302,0.1990
303,0.1318
304,0.0187
305,0.0000
306,0.0000
307,0.0000
308,0.0000
309,0.0000
310,0.0000
311,0.0000
312,0.0000
313,0.0000
314,0.0000
315,0.0000
316,0.0000
317,0.0000
318,0.0000
319,0.0232
320,0.1090
321,0.2644
322,0.3727
323,0.3796
324,0.4218
325,0.3434
326,0.2568
327,0.1563
328,0.0220
329,0.0000
330,0.0000
331,0.0000
332,0.0000
333,0.0000
334,0.0000
335,0.0000
336,0.0000
337,0.0000
338,0.0000
339,0.0000
340,0.0000
341,0.0000
342,0.0000
343,0.0243
344,0.1520
345,0.2763
346,0.3687
347,0.4170
348,0.3963
349,0.3346
350,0.2776
351,0.1201
352,0.0225
353,0.0000
354,0.0000
355,0.0000
356,0.0000
357,0.0000
358,0.0000
359,0.0000
360,0.0000
361,0.0000
362,0.0000
363,0.0000
364,0.0000
365,0.0000
366,0.0000
367,0.0239
368,0.1465
369,0.2602
370,0.3449
371,0.3900
372,0.3900
373,0.3045
374,0.2351
375,0.1465
376,0.0225
377,0.0000
378,0.0000
379,0.0000
380,0.0000
381,0.0000
382,0.0000
383,0.0000
384,0.0000
385,0.0000
386,0.0000
387,0.0000
388,0.0000
389,0.0000
390,0.0000
391,0.0277
392,0.1619
393,0.2862
394,0.3776
395,0.4227
396,0.4280
397,0.3627
398,0.2665
399,0.1619
400,0.0228
401,0.0000
402,0.0000
403,0.0000
404,0.0000
405,0.0000
406,0.0000
407,0.0000
408,0.0000
409,0.0000
410,0.0000
411,0.0000
412,0.0000
413,0.0000
414,0.0000
415,0.0294
416,0.1649
417,0.2900
418,0.3815
419,0.4328
420,0.3302
421,0.3417
422,0.2242
423,0.1536
424,0.0294
425,0.0000
426,0.0000
427,0.0000
428,0.0000
429,0.0000
430,0.0000
431,0.0000
432,0.0000
433,0.0000
434,0.0000
435,0.0000
436,0.0000
437,0.0000
438,0.0000
439,0.0228
440,0.1224
441,0.2140
442,0.2826
443,0.3155
444,0.3189
445,0.2536
446,0.1417
447,0.1224
448,0.0226
449,0.0000
450,0.0000
451,0.0000
452,0.0000
453,0.0000
454,0.0000
455,0.0000
456,0.0000
457,0.0000
458,0.0000
459,0.0000
460,0.0000
461,0.0000
462,0.0000
463,0.0286
464,0.1534
465,0.2672
466,0.3118
467,0.3566
468,0.3522
469,0.3079
470,0.2672
471,0.1534
472,0.0240
473,0.0000
474,0.0000
475,0.0000
476,0.0000
477,0.0000
478,0.0000
479,0.0000
480,0.0000
481,0.0000
482,0.0000
483,0.0000
484,0.0000
485,0.0000
486,0.0000
487,0.0238
488,0.1209
489,0.2089
490,0.2902
491,0.2851
492,0.3123
493,0.2902
494,0.2099
495,0.1123
496,0.0235
497,0.0000
498,0.0000
499,0.0000
500,0.0000
501,0.0000
502,0.0000
503,0.0000
504,0.0000
505,0.0000
506,0.0000
507,0.0000
508,0.0000
509,0.0000
510,0.0000
511,0.0320
512,0.1581
513,0.2304
514,0.3578
515,0.3750
516,0.4030
517,0.3578
518,0.2726
519,0.1581
520,0.0332
521,0.0000
522,0.0000
523,0.0000
524,0.0000
525,0.0000
526,0.0000
527,0.0000
528,0.0000
529,0.0000
530,0.0000
531,0.0000
532,0.0000
533,0.0000
534,0.0000
535,0.0387
536,0.1773
537,0.3042
538,0.3862
539,0.3765
540,0.4487
541,0.3414
542,0.2905
543,0.1773
544,0.0387
545,0.0000
546,0.0000
547,0.0000
548,0.0000
549,0.0000
550,0.0000
551,0.0000
552,0.0000
553,0.0000
554,0.0000
555,0.0000
556,0.0000
557,0.0000
558,0.0000
559,0.0376
560,0.1580
561,0.2836
562,0.3709
563,0.3964
564,0.4172
565,0.2877
566,0.2655
567,0.1661
568,0.0331
569,0.0000
570,0.0000
571,0.0000
572,0.0000
573,0.0000
574,0.0000
575,0.0000
576,0.0000
577,0.0000
578,0.0000
579,0.0000
580,0.0000
581,0.0000
582,0.0000
583,0.0312
584,0.1351
585,0.2217
586,0.2972
587,0.3411
588,0.3412
589,0.2681
590,0.2324
591,0.1217
592,0.0321
593,0.0000
594,0.0000
595,0.0000
596,0.0000
597,0.0000
598,0.0000
599,0.0000
600,0.0000
601,0.0000
602,0.0000
603,0.0000
604,0.0000
605,0.0000
606,0.0000
607,0.0330
608,0.1660
609,0.2804
610,0.3655
611,0.4106
612,0.4008
613,0.3340
614,0.2804
615,0.1660
616,0.0393
617,0.0000
618,0.0000
619,0.0000
620,0.0000
621,0.0000
622,0.0000
623,0.0000
624,0.0000
625,0.0000
626,0.0000
627,0.0000
628,0.0000
629,0.0000
630,0.0000
631,0.0379
632,0.1514
633,0.2085
634,0.3081
635,0.3776
636,0.3776
637,0.3264
638,0.1939
