# Synthetic hourly wind capacity factor, one year, dimensionless 0 to 1.
# Generated by make_profiles.py with seed 20260815. Not measured data.
# Speeds drawn from a Weibull distribution, shape 2.1 and scale 8.0 m/s,
# with hour to hour autocorrelation, passed through the toolkit power
# curve with cut-in 3, rated 12 and cut-out 25 m/s.
hour,wind_speed_ms,cf
0,6.6779,0.1592
1,6.5960,0.1528
2,6.6605,0.1578
3,5.5341,0.0838
4,5.7787,0.0976
5,7.1384,0.1980
6,5.8689,0.1030
7,5.9784,0.1097
8,5.8923,0.1044
9,5.9011,0.1049
10,5.5850,0.0865
11,6.0823,0.1164
12,9.0898,0.4257
13,10.0080,0.5734
14,9.3443,0.4638
15,8.5111,0.3466
16,7.3785,0.2203
17,8.0603,0.2920
18,7.0688,0.1918
19,6.1036,0.1178
20,7.1949,0.2031
21,6.3959,0.1379
22,6.0416,0.1138
23,5.4334,0.0784
24,4.7063,0.0454
25,4.8843,0.0526
26,4.0793,0.0240
27,3.4293,0.0078
28,3.6228,0.0121
29,2.3664,0.0000
30,2.8982,0.0000
31,3.0793,0.0013
32,3.6894,0.0137
33,3.3883,0.0070
34,3.6792,0.0134
35,4.7619,0.0476
36,5.8501,0.1018
37,3.9142,0.0194
38,3.2355,0.0040
39,4.1246,0.0254
40,5.6130,0.0881
41,5.1407,0.0640
42,6.3828,0.1370
43,6.6807,0.1594
44,5.9658,0.1090
45,7.3835,0.2208
46,7.5799,0.2402
47,9.1382,0.4327
48,7.5497,0.2371
49,5.5246,0.0833
50,5.8892,0.1042
51,6.3782,0.1367
52,5.9039,0.1051
53,6.9749,0.1836
54,4.5193,0.0384
55,6.3407,0.1340
56,6.3602,0.1354
57,6.4781,0.1440
58,6.2552,0.1280
59,7.1082,0.1953
60,7.0006,0.1858
61,6.9717,0.1833
62,8.8937,0.3977
63,8.6423,0.3636
64,11.3568,0.8452
65,10.3471,0.6354
66,10.7189,0.7081
67,8.6846,0.3692
68,8.7522,0.3783
69,7.8942,0.2733
70,7.4042,0.2228
